home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
Argentina,France,3,3,Lionel Scaloni,Didier Deschamps,88966,"Lusail Iconic Stadium, Lusail",Final,Szymon Marciniak,Qatar,2022
Croatia,Morocco,2,1,Zlatko Dalić,Hoalid Regragui,44137,"Khalifa International Stadium, Doha",Third-place match,Abdulrahman Ibrahim Al Jassim,Qatar,2022
France,Morocco,2,0,Didier Deschamps,Hoalid Regragui,68294,"Al Bayt Stadium, Al Khor",Semi-finals,César Arturo Ramos,Qatar,2022
Argentina,Croatia,3,0,Lionel Scaloni,Zlatko Dalić,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,Daniele Orsato,Qatar,2022
Morocco,Portugal,1,0,Hoalid Regragui,Fernando Santos,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,Facundo Tello,Qatar,2022
England,France,1,2,Gareth Southgate,Didier Deschamps,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,Wilton Sampaio,Qatar,2022
Croatia,Brazil,1,1,Zlatko Dalić,Tite,43893,"Education City Stadium, Doha",Quarter-finals,Michael Oliver,Qatar,2022
Netherlands,Argentina,2,2,Louis van Gaal,Lionel Scaloni,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,Antonio Matéu,Qatar,2022
Morocco,Spain,0,0,Hoalid Regragui,Luis Enrique,44667,"Education City Stadium, Doha",Round of 16,Fernando Rapallini,Qatar,2022
Portugal,Switzerland,6,1,Fernando Santos,Murat Yakin,83720,"Lusail Iconic Stadium, Lusail",Round of 16,César Arturo Ramos,Qatar,2022
Japan,Croatia,1,1,Hajime Moriyasu,Zlatko Dalić,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,Ismail Elfath,Qatar,2022
Brazil,Korea Republic,4,1,Tite,Paulo Bento,43847,"Stadium 974, Doha",Round of 16,Clément Turpin,Qatar,2022
France,Poland,3,1,Didier Deschamps,Czesław Michniewicz,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,Jesús Valenzuela,Qatar,2022
England,Senegal,3,0,Gareth Southgate,Aliou Cissé,65985,"Al Bayt Stadium, Al Khor",Round of 16,Iván Barton,Qatar,2022
Netherlands,United States,3,1,Louis van Gaal,Gregg Berhalter,44846,"Khalifa International Stadium, Doha",Round of 16,Wilton Sampaio,Qatar,2022
Argentina,Australia,2,1,Lionel Scaloni,Graham Arnold,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,Szymon Marciniak,Qatar,2022
Korea Republic,Portugal,2,1,Sérgio Costa,Fernando Santos,44097,"Education City Stadium, Doha",Group stage,Facundo Tello,Qatar,2022
Ghana,Uruguay,0,2,Otto Addo,Diego Alonso,43443,"Al Janoub Stadium, Al Wakrah",Group stage,Daniel Siebert,Qatar,2022
Cameroon,Brazil,1,0,Rigobert Song,Tite,85986,"Lusail Iconic Stadium, Lusail",Group stage,Ismail Elfath,Qatar,2022
